iter	node_index	parent_index	status	ERA_SCORE	S_A	Q_imp	Q_den	imp_pval_spearman	imp_pval_pearson	imp_count_spearman	imp_count_pearson	ece	c_index	peak_auroc	dcr	den_pen	cal_pen	cidx_pen	peak_pen	dcr_pen	n_imp	selected_as_parent_at
11	11	9	ok	-0.170793	-0.14173457367635395	0.34399742632364605	0.49661131068273245	0.500478617219618	0.19183073729375458	0.4945940155857958	0.1890863351954159	0.1460144883634568	0.5927775065104167	0.8228763386055606	3.966680364842491	-0.0	-0.029058195345382717	0.0	0.0	0.0	1000000	16,18
12	12	9	ok	-0.190532	-0.1905322258141383	0.2951997741858617	0.3836097445446829	0.241841633972999	0.15012230148461586	0.5809092615583077	0.20792589972752412	0.0715750612380432	0.6909383138020834	0.807028658701263	4.006737827806429	-0.0	0.0	0.0	0.0	0.0	1000000	-
13	13	9	ok	-0.18483	-0.1643441043399813	0.3213878956600187	0.4398573131367385	0.3579630092180804	0.1498965655222674	0.5646535361213827	0.21303847177834434	0.12458283907818996	0.6456564145149161	0.8214977893959564	4.010357352767507	-0.0	-0.020485535631275982	0.0	0.0	0.0	1000000	17
14	14	9	ok	-0.593585	-0.5004236416025077	-0.01469164160250773	-0.018082834680156507	-0.2553636675864197	-0.09074528585024166	0.2382429189192151	0.04909946810741536	0.09613904779821074	0.5059529622395833	0.5101699580744451	4.000000083093147	-0.0016955965388243885	-0.009108019119284294	0.0	-0.08235761677022198	0.0	1000000	-
15	15	9	ok	-0.507028	-0.4193343238187202	0.0663976761812798	0.14730383324241325	-0.0433114325577845	-0.004794983415260619	0.2646031712884693	0.04909394940969505	0.08736261407130679	0.5069295247395833	0.5108245431144842	3.999998889897907	-0.0	-0.0055974456285227125	0.0	-0.08209578275420633	0.0	1000000	-
16	16	11	ok	-0.161866	-0.1618663591390197	0.3238656408609803	0.4494043391692768	0.31758053006631937	0.23550712398361076	0.5096095782550479	0.23276533113894335	0.056541294463049944	0.6056233723958333	0.7808908829200223	3.4889688002983816	-0.0	0.0	0.0	0.0	0.0	1000000	-
17	17	13	ok	-0.152867	-0.1279666134562732	0.3577653865437268	0.4366541787272509	0.43880434256372247	0.13707509034007812	0.6145026147302983	0.24067949854080825	0.13562115134734967	0.6519879094165814	0.7989944186494514	3.955082754827121	-0.0	-0.02490086053893987	0.0	0.0	0.0	1000000	22
18	18	11	ok	-0.195136	-0.1812880579904813	0.3044439420095187	0.3956830809070715	0.32642472974124265	0.10017399023812773	0.5854011963822044	0.20577585167649975	0.10798834521574548	0.684039306640625	0.8218426767272736	3.952499122715345	-0.0	-0.01384773808629819	0.0	0.0	0.0	1000000	-
19	19	9	ok	-0.157045	-0.1494613378850192	0.3362706621149808	0.4751112955088941	0.40205930832699543	0.22762668531661853	0.628674140682805	0.08672251413350422	0.09232806308190983	0.6519388834635417	0.8222148600459911	3.9741301167706644	-0.0	-0.00758362523276393	0.0	0.0	0.0	1000000	24
20	20	9	ok	-0.096269	-0.07546058447557952	0.4102714155244205	0.4248398264927482	0.5301218129453007	0.30286362122648636	0.615025911612116	0.193074316313779	0.1253891925805897	0.6908040364583333	0.8273391482765667	3.9866385879687787	-0.0	-0.02080807703223588	0.0	0.0	0.0	1000000	21,23,25,43,48,53
21	21	20	ok	-0.170449	-0.16463251243552318	0.3210994875644768	0.413136578302725	0.3604294815249883	0.1070950328687414	0.6076363013624649	0.20923713450171255	0.08790985933998323	0.6564534505208334	0.8101257660357509	3.7952846818527317	-0.0	-0.0058163437359932905	0.0	0.0	0.0	1000000	-
